function_name,duration,high_res_duration
computeOrientation,182389,182429
computeOrientation,153734,153763
ComputeKeyPointsOctTree,13220875,13220905
GaussianBlur,142352,142412
computeOrientation,408942,408972
computeOrientation,320202,320232
computeOrientation,268443,268463
computeOrientation,230691,230711
computeOrientation,189262,189272
computeOrientation,152501,152511
ComputeKeyPointsOctTree,14302563,14302582
GaussianBlur,139607,139657
computeDescriptors,5529939,5529989
GaussianBlur,88008,88038
computeDescriptors,5548674,5548704
GaussianBlur,81025,81065
computeDescriptors,4589079,4589109
GaussianBlur,71176,71206
computeDescriptors,4578960,4579000
GaussianBlur,75435,75465
computeDescriptors,3797157,3797277
GaussianBlur,64944,64984
computeDescriptors,3803209,3803239
GaussianBlur,58492,58532
computeDescriptors,3168676,3168696
GaussianBlur,53963,53993
computeDescriptors,3154337,3154378
GaussianBlur,55055,55086
computeDescriptors,2607333,2607363
GaussianBlur,53772,53793
computeDescriptors,2606380,2606410
GaussianBlur,51498,51529
computeDescriptors,2176209,2176249
GaussianBlur,48693,48714
computeDescriptors,2176349,2176379
GaussianBlur,42712,42762
computeDescriptors,1790632,1790672
GaussianBlur,45788,45818
computeDescriptors,1812654,1812674
GaussianBlur,42832,42872
computeDescriptors,1522239,1522269
computeDescriptors,1523612,1523652
Track,409196214,409196495
GrabImageStereo,457882214,457882234
ComputePyramid,556093,556183
ComputePyramid,867799,867899
DistributeOctTree,1515176,1515216
DistributeOctTree,1618112,1618142
DistributeOctTree,995482,995522
DistributeOctTree,1003348,1003388
DistributeOctTree,720066,720107
DistributeOctTree,734223,734283
DistributeOctTree,535974,536004
DistributeOctTree,527558,527588
DistributeOctTree,402780,402820
DistributeOctTree,265638,265678
DistributeOctTree,402610,402650
DistributeOctTree,198760,198790
DistributeOctTree,153283,153323
DistributeOctTree,272120,272190
DistributeOctTree,198970,199000
computeOrientation,545011,545041
DistributeOctTree,151550,151580
computeOrientation,517749,517789
computeOrientation,543248,543278
computeOrientation,374485,374505
computeOrientation,448336,448367
computeOrientation,313259,313279
computeOrientation,263674,263714
computeOrientation,383012,383052
computeOrientation,217916,217936
computeOrientation,310484,310504
computeOrientation,178762,178782
computeOrientation,148735,148745
ComputeKeyPointsOctTree,13489318,13489338
computeOrientation,258044,258064
GaussianBlur,179373,179423
computeOrientation,234829,234869
computeOrientation,178952,178972
computeOrientation,147903,147923
ComputeKeyPointsOctTree,13835038,13835079
GaussianBlur,137092,137142
computeDescriptors,5630150,5630190
GaussianBlur,74482,74512
computeDescriptors,5564805,5564855
GaussianBlur,79201,79231
computeDescriptors,4663582,4663622
GaussianBlur,75143,75173
computeDescriptors,4601513,4601543
GaussianBlur,77909,77959
computeDescriptors,3892930,3892950
GaussianBlur,55686,55726
computeDescriptors,3824109,3824139
GaussianBlur,54634,54664
computeDescriptors,3169917,3169948
GaussianBlur,53953,53993
computeDescriptors,3165328,3165359
GaussianBlur,55756,55797
computeDescriptors,2682876,2682917
GaussianBlur,55376,55416
computeDescriptors,2622892,2622922
GaussianBlur,49094,49124
computeDescriptors,2163905,2163935
GaussianBlur,50677,50717
computeDescriptors,2176699,2176719
