function_name,duration,high_res_duration
GaussianBlur,427503,427563
computeDescriptors,5464797,5464827
computeDescriptors,5331095,5331155
GaussianBlur,148308,148388
GaussianBlur,182433,182483
computeDescriptors,4530621,4530651
computeDescriptors,4460911,4460951
GaussianBlur,160001,160071
GaussianBlur,162846,162856
computeDescriptors,3808054,3808074
computeDescriptors,3733174,3733194
GaussianBlur,62157,62207
GaussianBlur,41788,41849
computeDescriptors,3146862,3146892
computeDescriptors,3149457,3149497
GaussianBlur,55223,55304
GaussianBlur,39314,39384
computeDescriptors,2602017,2602037
computeDescriptors,2596156,2596176
GaussianBlur,65834,65874
GaussianBlur,38803,38853
computeDescriptors,2163865,2163885
computeDescriptors,2169165,2169195
GaussianBlur,50334,50385
GaussianBlur,25929,25979
computeDescriptors,1775646,1775676
computeDescriptors,1783441,1783461
GaussianBlur,46748,46788
GaussianBlur,61836,61866
computeDescriptors,1497263,1497293
computeDescriptors,1503315,1503335
Track,649036038,649036308
GrabImageStereo,697105816,697105906
ComputePyramid,651805,651915
ComputePyramid,867440,867550
DistributeOctTree,1415709,1415739
DistributeOctTree,1409928,1409978
DistributeOctTree,974200,974230
DistributeOctTree,972106,972136
DistributeOctTree,668076,668106
DistributeOctTree,674277,674317
DistributeOctTree,497966,497986
DistributeOctTree,507593,507623
DistributeOctTree,383581,383601
DistributeOctTree,390213,390233
DistributeOctTree,266040,266060
DistributeOctTree,258226,258245
DistributeOctTree,188935,188965
DistributeOctTree,196489,196499
DistributeOctTree,146896,146926
DistributeOctTree,147036,147066
computeOrientation,559271,559361
computeOrientation,439536,439606
computeOrientation,328086,328167
computeOrientation,347804,347894
computeOrientation,310293,310373
computeOrientation,346371,346441
computeOrientation,280657,280727
computeOrientation,274616,274706
computeOrientation,271080,271150
computeOrientation,289904,289974
computeOrientation,283583,283672
computeOrientation,262764,262824
computeOrientation,259698,259768
computeOrientation,271129,271199
computeOrientation,267362,267432
ComputeKeyPointsOctTree,13069363,13069393
computeOrientation,230292,230362
